ID,Date,name_in_NOW_data,VOs,V,O,V_string,O_string,Side,V_lemmatized,verb,Perspective(wo),Perspective(ws),Perspective(so),Effect(o),Effect(s),Value(o),Value(s),State(o),State(s),Perspective(ro),Perspective(rs),Perspective(os),name_in_allsides_data,media_bias_rating,accessed,column,url,url_allsides,category
31964104,20-07-18,vulture.com,"([mentions], [Breonna, Taylor])",[mentions],"[Breonna, Taylor]",mentions,Breonna Taylor,-1,mention,mention,0.0666666666667,0.3,0.133333333333,0.2,0.133333333333,0.333333333333,0.733333333333,0.0666666666667,0.0,0.1,0.2,0.2,Vulture,Lean Left,from supervisor 2019,media_bias,,,
31972010,20-07-23,washingtonpost.com,"([murdered], [Breonna, Taylor])",[murdered],"[Breonna, Taylor]",murdered,Breonna Taylor,-1,murder,murder,0.133333333333,-0.733333333333,-0.766666666667,-0.933333333333,-0.4,0.466666666667,-0.0666666666667,-0.733333333333,-0.466666666667,0.233333333333,-0.8,-0.733333333333,Washington Post,Lean Left,from AllSides December 2021,,https://www.washingtonpost.com/,https://www.allsides.com/news-source/washington-post-media-bias,News Media
31874644,20-06-01,nymag.com,"([killed], [Breonna, Taylor])",[killed],"[Breonna, Taylor]",killed,Breonna Taylor,-1,kill,kill,0.0666666666667,-0.666666666667,-0.733333333333,-1.0,-0.333333333333,0.466666666667,0.2,-0.933333333333,-0.4,0.0666666666667,-0.733333333333,-0.866666666667,New York Magazine,Left,from AllSides December 2021,,http://nymag.com/,https://www.allsides.com/news-source/new-york-magazine,News Media
31882645,20-06-05,chicago.suntimes.com,"([named], [[Breonna, Taylor], [Johnson]])",[named],"[[Breonna, Taylor], [Johnson]]",named,[Breonna Taylor] [Johnson],-1,name,name,0.166666666667,0.4,0.6,0.466666666667,0.333333333333,0.866666666667,0.866666666667,0.1,0.5,0.2,0.366666666667,0.266666666667,Chicago Sun-Times,Lean Left,from AllSides December 2021,,http://chicago.suntimes.com/,https://www.allsides.com/news-source/chicago-sun-times,News Media
31883040,20-06-05,euronews.com,"([shot], [Breonna, Taylor])",[shot],"[Breonna, Taylor]",shot,Breonna Taylor,-1,shoot,shoot,-0.0333333333333,-0.166666666667,-0.1,-0.333333333333,0.0666666666667,-0.333333333333,0.733333333333,-0.4,0.1,-0.0333333333333,-0.133333333333,-0.4,Euronews,Center,from supervisor 2019,media_bias,,,
85067541,20-06-01,Reason,"([murdered], [Breonna])",[murdered],[Breonna],murdered,Breonna,-1,murder,murder,0.133333333333,-0.733333333333,-0.766666666667,-0.933333333333,-0.4,0.466666666667,-0.0666666666667,-0.733333333333,-0.466666666667,0.233333333333,-0.8,-0.733333333333,Reason,Lean Right,from AllSides December 2021,,http://reason.com/,https://www.allsides.com/news-source/reason,News Media
85078541,20-06-02,Washington Times,"([noted], [Breonna, Taylor])",[noted],"[Breonna, Taylor]",noted,Breonna Taylor,-1,note,note,-0.2,0.233333333333,-0.2,0.133333333333,-0.0666666666667,-0.2,0.666666666667,0.0333333333333,-0.233333333333,-0.133333333333,0.266666666667,0.0333333333333,Washington Times,Lean Right,from AllSides December 2021,,http://www.washingtontimes.com/,https://www.allsides.com/news-source/washington-times-bias,News Media
85103539,20-06-05,Forbes,"([killed], [Breonna, Taylor])",[killed],"[Breonna, Taylor]",killed,Breonna Taylor,-1,kill,kill,0.0666666666667,-0.666666666667,-0.733333333333,-1.0,-0.333333333333,0.466666666667,0.2,-0.933333333333,-0.4,0.0666666666667,-0.733333333333,-0.866666666667,Forbes,Center,from AllSides December 2021,,http://www.forbes.com/,https://www.allsides.com/news-source/forbes,News Media
85174138,20-06-14,The Hollywood Reporter,"([passed], [Breonna, 's, Law])",[passed],"[Breonna, 's, Law]",passed,Breonna 's Law,-1,pass,pass,0.133333333333,0.266666666667,0.0,0.2,0.2,0.333333333333,0.6,0.0,0.1,0.0333333333333,0.166666666667,0.0333333333333,The Hollywood Reporter,Lean Left,from AllSides December 2021,,https://www.hollywoodreporter.com/,https://www.allsides.com/news-source/hollywood-reporter-media-bias,News Media
85176247,20-06-14,The Atlantic,"([killed], [26, -, year, -, old, Breonna, Taylor])",[killed],"[26, -, year, -, old, Breonna, Taylor]",killed,26 - year - old Breonna Taylor,-1,kill,kill,0.0666666666667,-0.666666666667,-0.733333333333,-1.0,-0.333333333333,0.466666666667,0.2,-0.933333333333,-0.4,0.0666666666667,-0.733333333333,-0.866666666667,The Atlantic,Lean Left,from AllSides December 2021,,http://www.theatlantic.com/,https://www.allsides.com/news-source/atlantic,News Media
