name_in_NOW_data;name_in_allsides_data;media_bias_rating;accessed;column;url;url_allsides;category
Axios;Axios;Center;from AllSides December 2021;;https://www.axios.com/;https://www.allsides.com/news-source/axios;News Media
Barron's;;Center;Ad Fontes Media Bias Chart 2021;;;;
Business Insider;Business Insider;Center;from supervisor 2019;allsides;;;
Business Insider on MSN.com;Business Insider;Center;from supervisor 2019;allsides;;;
businessinsider.com;Business Insider;Center;from supervisor 2019;allsides;;;
Chicago Tribune;Chicago Tribune;Center;from AllSides December 2021;;http://www.chicagotribune.com/;https://www.allsides.com/news-source/chicago-tribune;News Media
chicagotribune.com;Chicago Tribune;Center;from AllSides December 2021;;http://www.chicagotribune.com/;https://www.allsides.com/news-source/chicago-tribune;News Media
Christian Science Monitor;Christian Science Monitor;Center;from AllSides December 2021;;http://www.csmonitor.com/;https://www.allsides.com/news-source/christian-science-monitor;News Media
cleveland.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
Cleveland.com on MSN.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
CNBC;CNBC;Center;from AllSides December 2021;;http://cnbc.com;https://www.allsides.com/news-source/cnbc;News Media
cnbc.com;CNBC;Center;from AllSides December 2021;;http://cnbc.com;https://www.allsides.com/news-source/cnbc;News Media
CNET;CNET;Center;from AllSides December 2021;;http://www.cnet.com;https://www.allsides.com/news-source/cnet;News Media
Des Moines Register;The Des Moines Register;Center;from supervisor 2019;media_bias;https://www.allsides.com/news-source/desmoines-register;;News Media
Detroit News;Detroit News;Center;from AllSides December 2021;;http://www.detroitnews.com/;https://www.allsides.com/news-source/detroit-news;News Media
euronews.com;Euronews;Center;from supervisor 2019;media_bias;;;
Forbes;Forbes;Center;from AllSides December 2021;;http://www.forbes.com/;https://www.allsides.com/news-source/forbes;News Media
Foreign Policy;Foreign Policy;Center;from AllSides December 2021;;;https://www.allsides.com/news-source/foreign-policy-media-bias;News Media
Houston Chronicle;Houston Chronicle;Center;from AllSides December 2021;;https://www.houstonchronicle.com/;https://www.allsides.com/news-source/houston-chronicle-media-bias;News Media
Houston Chronicle on MSN.com;Houston Chronicle;Center;from AllSides December 2021;;https://www.houstonchronicle.com/;https://www.allsides.com/news-source/houston-chronicle-media-bias;News Media
International Business Times;International Business Times;Center;from AllSides December 2021;;http://www.ibtimes.com/;https://www.allsides.com/news-source/international-business-times;News Media
jpost.com;The Jerusalem Post;Center;from AllSides December 2021;;;https://www.allsides.com/news-source/jerusalem-post-media-bias;News Media
MarketWatch on MSN.com;MarketWatch;Center;from AllSides December 2021;;https://www.marketwatch.com/;https://www.allsides.com/news-source/marketwatch-media-bias;News Media
marketwatch.com;MarketWatch;Center;from AllSides December 2021;;https://www.marketwatch.com/;https://www.allsides.com/news-source/marketwatch-media-bias;News Media
MassLive;;Center;Ad Fontes Media Bias Chart 2021;;;;
Military.com;Military.com;Center;from supervisor 2019;media_bias;;;
My San Antonio;;Center;Ad Fontes Media Bias Chart 2021;;;;
NJ.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
NJ.com on MSN.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
nola.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
NPR;NPR (Online News);Center;from AllSides December 2021;;http://www.npr.org/;https://www.allsides.com/news-source/npr-media-bias;News Media
npr.org;NPR (Online News);Center;from AllSides December 2021;;http://www.npr.org/;https://www.allsides.com/news-source/npr-media-bias;News Media
Patch;Patch.com;Center;from AllSides December 2021;;https://patch.com/;https://www.allsides.com/news-source/patchcom-media-bias;News Media
PBS;PBS NewsHour;Center;from AllSides December 2021;;http://www.pbs.org/newshour/;https://www.allsides.com/news-source/pbs-newshour;News Media
pbs.org;PBS NewsHour;Center;from AllSides December 2021;;http://www.pbs.org/newshour/;https://www.allsides.com/news-source/pbs-newshour;News Media
postandcourier.com;The Post and Courier;Center;from supervisor 2019;media_bias;;;
PR Newswire;PR Newswire;Center;from supervisor 2019;media_bias;;;
pressherald.com;Portland Press Herald;Center;from AllSides December 2021;;http://www.pressherald.com/;https://www.allsides.com/news-source/portland-press-herarld;News Media
Psychology Today;Psychology Today;Center;from AllSides December 2021;;;https://www.allsides.com/news-source/psychology-today-media-bias;News Media
qz.com;Quartz;Center;from AllSides December 2021;;http://qz.com/;https://www.allsides.com/news-source/quartz;News Media
RealClearPolitics;RealClearPolitics;Center;from AllSides December 2021;;http://www.realclearpolitics.com/;https://www.allsides.com/news-source/real-clear-politics;News Media
stltoday.com;St. Louis Post-Dispatch;Center;from AllSides December 2021;;https://www.stltoday.com/;https://www.allsides.com/news-source/st-louis-post-dispatch-media-bias;News Media
Tampa Bay Times;Tampa Bay Times;Center;from AllSides December 2021;;https://www.tampabay.com/;https://www.allsides.com/news-source/tampa-bay-times-media-bias;News Media
